External_ID,Molecule SMILES,First Sample Reg. Date,SAU Gyr IC50 (µM),SAU Gyr Ki (µM),Sau516 MIC (µg/ml),Sau516  MIC (µM),Mean Human Prot binding (% free),Mean LogD,Determination of pKa HA1,Determination of pKa HA2,Determination of pKa B1,Determination of pKa B2,Sirius pKa
AZ1001,c1cc(c(nc1)N2CCC(CC2)NC(=O)c3cc(c([nH]3)Cl)Cl)[N+](=O)[O-],6/10/2002,>400,,>64,,,NV,,,,,
AZ1002,CC(C)c1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(cccn3)[N+](=O)[O-])Br,8/16/2002,>50,,>64,,,>4,,,,,
AZ1003,CCOC(=O)c1cc(nc(c1C#N)N2CCC(CC2)NC(=O)c3cc(c([nH]3)C)Br)C,8/16/2002,7.14,,>64,,,>3.66,,,,,
AZ1004,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(cccn3)C#N)Br,8/16/2002,9.93,,>64,,,>3.13,,,,,
AZ1005,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ccc4ccccc4n3)Br,8/16/2002,3.31,,>64,,,>4.07,,,,,
AZ1006,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(ccc(n3)OC)[N+](=O)[O-])Br,8/16/2002,11.1,,,,,>3.35,,,,,
AZ1007,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Br,8/29/2002,<0.101,,32,,3,NV,,,,,
AZ1008,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(ccn3)C#N)Br,8/29/2002,2.48,,>64,,,3.56,,,,,
AZ1009,Cc1cc(nc(n1)N2CCC(CC2)NC(=O)c3cc(c([nH]3)C)Br)C(=O)OC,8/29/2002,2.61,,>64,,,3.73,,,,,
AZ1010,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ncccn3)Br,8/29/2002,4.96,,>64,,,NV,,,,,
AZ1011,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ccc(cn3)C(F)(F)F)Br,10/10/2002,2.46,,>64,,<0.2,,,,,,
AZ1012,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ccc(cn3)C(=O)N)Br,10/10/2002,2.59,,>64,,,,,,,,
AZ1013,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)Br)Br,10/10/2002,1.35,,>64,,,NV,,,,,
AZ1014,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c4c(nc[nH]4)ncn3)Br,10/10/2002,7.42,,>64,,<0.2,>3.83,,,,,
AZ1015,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C#N)Br,11/14/2002,2.32,,>64,,,,,,,,
AZ1016,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(ccn3)c4[nH]nnn4)Br,11/14/2002,0.144,,,,,,,,,,
AZ1017,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(ccc[n+]3[O-])O)Br,11/14/2002,3.18,,>64,,,,,,,,
AZ1018,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)C(F)(F)F)Br,11/18/2002,2.61,,>64,,,>2.42,,,,,
AZ1019,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(ccc(n3)C(F)(F)F)C(=O)N)Br,11/18/2002,30.9,,,,,>3.18,,,,,
AZ1020,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(ccc(n3)C(F)(F)F)C#N)Br,11/18/2002,32.2,,>64,,,>3.23,,,,,
AZ1021,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nccs3)Br,11/22/2002,0.977,,>64,,1.3,>2.94,,,,,
AZ1022,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nc4ccccc4s3)Br,11/26/2002,0.896,,>64,,<0.2,3.6,,,,,
AZ1023,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)Cl)Br,12/4/2002,1.62,,>64,,,,,,,,
AZ1024,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)OC)Br,12/4/2002,3.09,,>64,,,,,,,,
AZ1025,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl,12/4/2002,<0.112,,>32,>200,0.4,>3.84,,,,,
AZ1026,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ccc(c(n3)Cl)C(=O)O)Br,12/4/2002,3.81,,>64,,,,,,,,
AZ1027,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NC4CC4)Br,12/4/2002,0.125,,>64,,,,,,,,
AZ1028,CCc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Br,12/4/2002,0.0484,,>64,,,>3.88,,,,,
AZ1029,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NC)Br,12/4/2002,0.115,,>64,,<0.2,,,,,,
AZ1030,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NCC(=O)OC)Br,12/4/2002,0.137,,>64,,,,,,,,
