AZ_Pyrrolamides_features_final
Molecule SMILES,SAU Gyr IC50 (礛),MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,qed,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_alkyl_halide,fr_amide,fr_aniline,fr_aryl_methyl,fr_ester,fr_ether,fr_halogen,fr_methoxy,fr_piperdine,fr_pyridine,fr_thiazole,f_2,f_8,f_11,f_13,f_14,f_41,f_72,f_78,f_92,f_111,f_116,f_117,f_118,f_131,f_140,f_141,f_142,f_143,f_146,f_147,f_161,f_162,f_186,f_191,f_197,f_213,f_217,f_219,f_236,f_242,f_257,f_265,f_266,f_289,f_296,f_298,f_309,f_319,f_339,f_345,f_350,f_355,f_358,f_361,f_378,f_387,f_389,f_390,f_394,f_400,f_419,f_456,f_464,f_486,f_496,f_497,f_516,f_526,f_527,f_546,f_552,f_561,f_563,f_564,f_571,f_583,f_586,f_587,f_592,f_612,f_642,f_656,f_667,f_668,f_675,f_692,f_693,f_695,f_697,f_699,f_708,f_711,f_715,f_718,f_725,f_728,f_734,f_743,f_744,f_745,f_756,f_766,f_769,f_773,f_798,f_804,f_806,f_807,f_810,f_811,f_823,f_833,f_839,f_841,f_843,f_850,f_855,f_870,f_873,f_875,f_894,f_906,f_911,f_921,f_931,f_932,f_937,f_940,f_950,f_957,f_967,f_980,f_989,f_1005,f_1011,f_1014,f_1015,f_1022,f_1028,f_1032,f_1034,f_1053,f_1060,f_1066,f_1071,f_1077,f_1088,f_1099,f_1101,f_1126,f_1132,f_1136,f_1145,f_1150,f_1152,f_1160,f_1163,f_1164,f_1175,f_1178,f_1179,f_1181,f_1182,f_1185,f_1219,f_1221,f_1225,f_1236,f_1238,f_1242,f_1256,f_1257
Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)Cc3nccn3C)Br,>7.42,12.270798139133700,-0.02652662299487710,0.02652662299487710,0.8550338263462210,380.29000000000000,0.2674569523406570,-0.3536838231948890,1.4782608695652200,2.217391304347830,1.4893676882555000,664.9570000883440,-1.6,230628.10850413700,3.841794232823070,14.867866772744900,11.518332492848400,0.0,0.0,5.907179729351510,0.0,9.694446914922300,4.9839785209472100,0.0,0.0,0.0,41.7616914119536,48.739360277557300,6.544756405912580,4.794537184071820,21.837123627300900,24.751755024542600,7.04767198267719,32.35197768060320,13.08951281182520,40.145034215217000,0.0,5.316788604006330,0.0,15.929943897949300,44.47349979086090,13.592428388589800,6.923737199690620,34.84844091762070,22.932773727520200,0.0,0.0,65.95,0.0,4.794537184071820,11.949020558499500,5.693927994848460,48.46696447227060,0.0,0.0,32.43146339405560,40.68169892249190,0.0,0.0,2.9923908096819600,42.49867810385650,0.5,2.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,7.0,4.0,3.0,2.21352,0.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(C)c1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(cccn3)[N+](=O)[O-])Br,>50,12.517532211588800,-0.411106048426471,0.01151498788937770,0.5507093859573950,436.31,0.31107503908024700,-0.3532411611635050,1.4444444444444400,2.1481481481481500,1.6074391328581900,843.2726830236980,-2.4200000000000000,1314875.5250102000,4.292289752043560,15.200676855804000,5.693927994848460,0.0,5.817862777835030,5.907179729351510,5.687386274683560,14.908855452837400,4.9839785209472100,0.0,0.0,13.847474399381200,46.82222732688600,41.56121179172870,4.923311048817670,9.717848232889490,33.34237267981940,15.284745645900700,0.0,38.64886452054260,17.98942254267560,50.37083855129280,0.0,10.216698334856800,11.50524905251860,15.929943897949300,39.92980146103670,0.0,10.114318268765600,48.7894168651634,28.86866429283030,0.0,0.0,104.16,4.923311048817670,14.908855452837400,17.636406833183000,43.36085287652210,10.166647510680900,6.06636706846161,18.3295777085363,4.899909730850480,45.06216394323130,0.0,0.0,0.90271371286724,62.030467434161400,0.4444444444444440,2.0,8.0,1.0,1.0,0.0,2.0,2.0,5.0,9.0,5.0,3.0,3.6026000000000000,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1cccc(c1)C2(CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)O,>50,12.512444489109700,-1.0479111858220700,0.08846053210591490,0.6038902852928430,439.3390000000000,0.3376192974048730,-0.4623911948622560,1.2758620689655200,1.9655172413793100,1.6484051835621900,917.4000697363130,-2.02,2925963.1745767200,4.601427826061030,20.14415747359430,5.693927994848460,0.0,0.0,5.907179729351510,5.969305287951850,4.794537184071820,4.794537184071820,0.0,0.0,35.33461391738830,57.22694651970550,11.735768823996400,27.816650894676300,19.432464716784400,35.07836479776840,10.30076712495350,0.0,51.17365253121690,6.606881964512920,56.82549387442,0.0,5.316788604006330,0.0,23.20187978046500,34.61571372675220,10.337913764783700,6.923737199690620,64.71085703262920,24.26546827384640,10.045266627482700,0.0,91.42,11.570356098935500,14.69560176298440,22.665581867089300,54.13363274820070,0.0,0.0,32.046575604766100,6.06636706846161,10.30076712495350,27.938742734265100,12.148937614806900,0.0,59.98995127408200,0.42857142857142900,3.0,6.0,0.0,1.0,1.0,1.0,2.0,4.0,8.0,5.0,3.0,4.366820000000000,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cc1c(c(c([nH]1)C(=O)NC2CCC(CC2)(c3cccc(c3)C(=O)O)O)Cl)Cl,>50,12.43702879521870,-1.1005348394501800,0.11214842109683400,0.6131342818372110,411.28500000000000,0.33519040519626000,-0.4776391195442910,1.2222222222222200,1.8888888888888900,1.6596982738079000,885.8299653578050,-2.0200000000000000,1058638.6618091400,3.975930593865060,20.513821914635000,5.693927994848460,0.0,0.0,5.907179729351510,5.969305287951850,4.794537184071820,4.794537184071820,0.0,0.0,35.33461391738830,50.30320932001490,11.735768823996400,21.209768930163300,19.802129157825100,35.07836479776840,10.30076712495350,0.0,44.24991533152630,0.0,56.825493874420000,0.0,5.316788604006330,0.0,23.20187978046500,33.11535915707990,5.601050810983690,6.923737199690620,57.78711983293860,24.26546827384640,10.045266627482700,0.0,102.42,11.570356098935500,14.69560176298440,28.22903335878630,41.96329929199080,0.0,12.13273413692320,19.056471336613800,0.0,10.30076712495350,28.30840717530570,12.087715400090400,0.0,59.0511734887985,0.3684210526315790,4.0,6.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,4.0,3.0,3.8883200000000000,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)c1cnc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C#N)Cl)Cl,>50,12.407953477180600,-0.4035879670237670,0.0428498588598909,0.724964575359797,428.30100000000000,0.3492585813268940,-0.46478629830549100,1.4074074074074100,2.111111111111110,1.5812521714453200,911.787802093263,-2.2800000000000000,1602438.3659470000,4.026090411507760,19.937539809604100,22.334224496190500,5.131558479839330,0.0,5.907179729351510,5.969305287951850,4.794537184071820,9.77851570501903,5.261891554738490,0.0,34.53866565839980,12.841643245852000,19.13135364097310,23.351907740373300,14.325937321943700,51.54670915554250,15.284745645900700,0.0,18.88348407500000,25.099220083953200,32.50711338249400,6.069221312792270,10.216698334856800,5.131558479839330,34.53866565839980,48.08559324144840,4.736862953800050,11.33111286753080,38.69572079739390,6.196843571613080,10.045266627482700,0.0,111.11000000000000,11.876485017303400,9.589074368143640,27.474963446327500,30.80830325137850,5.131558479839330,24.643426990825300,0.0,6.069221312792270,24.921518330551300,28.463771335203500,13.209828519317900,0.0,57.51239370290430,0.375,2.0,8.0,1.0,1.0,0.0,2.0,2.0,7.0,11.0,4.0,3.0,2.8350800000000000,0.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1c(c(c([nH]1)C(=O)Nc2ccc(cc2)c3cc(c(nc3)NCCOC)C(=O)OC)Cl)Cl,>50,12.49093342235500,-0.5000637795710080,0.17953637521010400,0.3184213215247580,477.3480000000000,0.34114850510592100,-0.46531876019742,1.09375,1.8125,1.7919251551435900,1129.7046532080600,-3.0700000000000000,14267490.658126000,5.213969720897150,25.09128163656000,17.075242264380500,0.0,0.0,5.907179729351510,5.969305287951850,4.794537184071820,9.77851570501903,0.0,0.0,35.33461391738830,30.686289896772400,36.796163280032200,23.761946133273100,19.06280027574370,46.58361385028700,9.967957041894420,0.0,6.923737199690620,38.00481066099320,63.5252530227977,11.126902983394000,10.633577208012700,11.50524905251860,23.20187978046500,49.215675512178300,9.473725907600100,6.923737199690620,26.54038184953760,36.52867891392110,10.045266627482700,11.126902983394000,105.34000000000000,11.876485017303400,9.589074368143640,10.716561308589800,40.936900223230900,11.126902983394000,7.109797541277530,50.56221365488930,0.0,20.60153424990710,32.67560568806510,12.137929462191500,0.0,66.91762609336410,0.22727272727272700,3.0,8.0,0.0,0.0,1.0,2.0,3.0,6.0,10.0,8.0,3.0,4.789120000000000,0.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1cc(c(nc1)N2CCC(CC2)NC(=O)c3cc(c([nH]3)Cl)Cl)[N+](=O)[O-],>400,12.198481443133300,-0.4355965152246300,0.013282522885697400,0.623001020227614,384.223,0.31107503908024700,-0.3507395077045810,1.4,2.12,1.6062883669510800,782.714558343989,-2.32,533259.7814658740,3.8534326365805100,15.200676855804000,10.847037811741300,0.0,5.817862777835030,5.907179729351510,5.687386274683560,14.908855452837400,4.9839785209472100,0.0,0.0,23.20187978046500,24.974377382775200,31.3945642810478,9.945944362559000,9.717848232889490,40.614308562335100,15.284745645900700,0.0,18.88348407500000,17.98942254267560,50.37993417124610,0.0,10.216698334856800,11.50524905251860,23.20187978046500,39.92980146103670,0.0,10.114318268765600,23.330108424772300,24.395944776997900,10.175743130634100,0.0,104.16,4.923311048817670,14.908855452837400,22.789516650075800,42.465580144102000,0.0,18.329577708536300,6.06636706846161,4.899909730850480,15.284745645900700,23.20187978046500,11.63905850442990,0.0,54.91649705112570,0.3333333333333330,2.0,8.0,1.0,1.0,0.0,2.0,2.0,5.0,10.0,4.0,3.0,3.0235000000000000,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1ccc2c(c1)C[C@H]([C@@H]2CC(=O)O)NC(=O)c3cc4cc(sc4[nH]3)Cl,>400,12.61744000377930,-0.8648322152935250,0.002595482152661260,0.6492634911168110,374.84900000000000,0.30354393025394900,-0.4812133070448580,1.32,2.12,1.567065902555890,946.2752029346540,-2.3100000000000000,737257.9899789210,3.02896731621637,15.407294519794200,10.524324414469000,0.0,0.0,5.907179729351510,5.969305287951850,9.589074368143640,0.0,0.0,11.336785877934700,35.866408164079000,29.68045874324320,17.34597108977420,10.75715063867160,14.69560176298440,45.03083141955600,10.30076712495350,0.0,24.801390121161400,0.0,57.555362404757700,0.0,5.316788604006330,0.0,22.937725768167300,28.00883176223920,11.21535880699780,0.0,33.95409583140170,36.39820241076970,4.336329015745630,10.216620634085400,82.19,5.969305287951850,14.69560176298440,24.287748227586900,16.4510786335201,21.343523617479400,11.336785877934700,6.06636706846161,30.33183534230810,10.30076712495350,11.600939890232500,7.339353160132470,0.6675674871264700,53.937523797185500,0.2222222222222220,3.0,5.0,0.0,1.0,1.0,2.0,3.0,3.0,7.0,4.0,4.0,3.7958000000000000,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCOC(=O)c1cc(cnc1)c2ccc(cn2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,>3.48,12.361927198860300,-0.4467460358068360,0.16953768252011700,0.5932429935823800,419.26800000000000,0.33921085361394900,-0.46235046488187400,1.1785714285714300,1.9642857142857100,1.7656079821197200,1032.1580468027300,-2.9000000000000000,2139834.4452418500,4.156435836885360,15.037630078753600,5.693927994848460,0.0,0.0,5.907179729351510,5.969305287951850,14.76249422596620,4.794537184071820,0.0,0.0,23.20187978046500,32.046575604766100,23.65106662977160,39.793757924837700,14.325937321943700,40.76575107245200,14.951935562841600,0.0,13.847474399381200,11.923670568519200,63.786206029100600,11.257379486545500,5.316788604006330,5.687386274683560,23.20187978046500,33.435302544657900,4.736862953800050,6.923737199690620,33.46411904922820,36.78963192022410,10.045266627482700,11.257379486545500,96.97,11.876485017303400,9.589074368143640,17.323443273102700,33.2247785615158,0.0,12.393687143226200,38.24341917637920,0.0,20.268724166848000,27.938742734265100,12.05322835023610,0.0,58.83566053865280,0.15789473684210500,2.0,7.0,0.0,0.0,0.0,3.0,3.0,5.0,9.0,5.0,3.0,4.515920000000000,0.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CC[C@@H](C(=O)N(C)[C@@H]1c2ccccc2C[C@H]1NC(=O)c3cc4cc(ccc4[nH]3)F)O,>200,13.463978707350200,-1.0808180695038300,0.31963305160042400,0.6057476313635430,409.4610000000000,0.2675404800063080,-0.38327993709264000,1.2666666666666700,2.033333333333330,1.6081735978773000,1110.0213262134300,-3.1900000000000000,8150697.088046520,3.5652334149730900,20.307204250644700,17.615115223642700,0.0,0.0,11.814359458703000,0.0,9.589074368143640,4.39041504767482,0.0,0.0,31.18920547353710,48.234014503092400,17.950596914758200,12.083681658295900,19.086016810659200,22.717284390784100,15.200676855804000,0.0,37.95302849158690,7.04767198267719,71.16898836698120,0.0,5.316788604006330,4.39041504767482,0.0,45.99825430491490,11.21535880699780,5.817220841045900,41.00176781407890,48.53093654769290,0.0,10.902924932081100,85.43,6.103966387748300,19.086016810659200,29.715261958044800,29.43849617278150,11.126902983394000,17.032643867773700,26.104143319291000,24.26546827384640,10.30076712495350,0.0,0.0,13.463978707350200,61.86935462598320,0.30434782608695700,3.0,6.0,0.0,1.0,2.0,1.0,3.0,3.0,7.0,5.0,4.0,2.9321000000000000,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
